	gene	1	2	3	4	5	6	7	average.FC
B0218.7	B0218.7	0.3	0.28	0.18	0.24	-0.81	0.02	-0.07	0.02
clec-52	clec-52	-1.29	-2.05	-1.39	-1.37	-1.58	-1.89	-1.02	-1.512857143
B0222.1	B0222.1	0.38	0.13	0.58	0.342	0.03	-0.05	-0.06	0.193142857
B0222.10	B0222.10	-0.69	0.25	0.18	0.16	-0.2	0.14	0.28	0.017142857
B0222.11	B0222.11	0.49	-0.11	1.04	1.09	0.02	0	0.1	0.375714286
pitr-2	pitr-2	0.023271805	0.010004527	0.014366823	0.010039133	0.43	-0.1	0.32	0.10109747
pitr-3	pitr-3	-0.26	0	-0.41	-0.71	0.06	0.35	-0.17	-0.162857143
tag-38	tag-38	-0.06	0.3	0.49	0.15	0.11	0.2	-0.71	0.068571429
B0222.5	B0222.5	0.35	0.03	0.63	0.66	0.33	0.05	0.28	0.332857143
col-144	col-144	-0.35	0.05	0.12	0.12	-0.14	0.05	-0.05	-0.028571429
col-145	col-145	0.2	-0.01	0.28	0.21	-0.08	-0.04	0.12	0.097142857
col-10	col-10	0.51	0.25	0.25	0.31	-0.08	0.27	0.17	0.24
gad-3	gad-3	0.87	0.67	0.88	1.04	1.07	1.5	0.74	0.967142857
B0228.1	B0228.1	0.11	0.04	0.96	0.82	0.23	-0.94	0.34	0.222857143
B0228.10	B0228.10	0.023271805	-0.25875	0.38	-0.11	-0.26	-0.3	-0.28	-0.115068314
cpna-2	cpna-2	0	-0.14	0.25	0.2	-0.08	0.31	-0.21	0.047142857
trx-1	trx-1	0.06	0.2	0.41	0.2	0.17	-0.06	0.06	0.148571429
B0228.6	B0228.6	0.255	-0.11	0.32	-0.13	0.69	-0.01	0.49	0.215
B0228.7	B0228.7	-0.78	-1.19	-0.73	-0.93	-0.7	-0.68	-0.77	-0.825714286
B0228.8	B0228.8	0.126666667	0.15	0.13	0.13	-0.01	0.21	0.26	0.142380952
B0228.9	B0228.9	0.023271805	0.010004527	0.014366823	0.010039133	-0.07	-0.08	-0.23	-0.046045387
B0238.1	B0238.1	-0.74	-0.85	-0.7	-0.79	-0.17	-0.32	-0.52	-0.584285714
B0238.10	B0238.10	0.08	0.53	0.25	0.25	0.06	0.07	0.33	0.224285714
B0238.11	B0238.11	0	-0.76	-0.07	0.04	0.57	0.36	0.25	0.055714286
B0238.12	B0238.12	0.26	0.65	1.74	1.56	0.72	0.41	0.14	0.782857143
B0238.13	B0238.13	-0.33	-0.8	-0.45	-0.61	-0.67	-0.51	-0.51	-0.554285714
srt-66	srt-66	0.113333333	-0.4	0.04	0.77	0.04	-0.22	-0.23	0.016190476
B0238.15	B0238.15	0.36	0.22	-0.23	-0.02	0.04	-0.14	0.05	0.04
srt-68	srt-68	-0.216666667	0.133333333	-0.341111111	-0.61	0.34	-0.02	0.38	-0.047777778
srt-67	srt-67	0.023271805	0.010004527	0.014366823	0.010039133	0.23	-0.16	-0.03	0.013954613
srt-70	srt-70	0.1375	0.205	-0.49	-0.226666667	-0.11	-0.05	-0.12	-0.093452381
B0238.7	B0238.7	-0.055	-0.26	0.34	-0.15	0.29	-0.38	0.06	-0.022142857
srt-69	srt-69	0.023271805	0.010004527	0.014366823	0.010039133	0.12	0.23	0.022240009	0.061417471
rhr-2	rhr-2	0.44	0.3	0.6	0.64	0.42	0.1	0.07	0.367142857
daf-11	daf-11	0.023271805	0.010004527	0.014366823	0.010039133	0.41	0.7	-0.03	0.162526041
npp-22	npp-22	-0.121111111	-0.07	-0.13	-0.11	0.36	0.1	0.28	0.044126984
B0244.10	B0244.10	0.43	-0.63	0.08	0.19	0.18	0.06	0.18	0.07
B0244.11	B0244.11	0.023271805	0.010004527	0.014366823	0.010039133	-0.27	-0.63	0.12	-0.103188245
B0244.15	B0244.15	0.266666667	-0.21	0.23	0.6	0.16	-0.56	0.45	0.133809524
B0244.4	B0244.4	0.191428571	-0.1	0.41	0.59	-0.41	-0.56	0.04	0.023061224
B0244.5	B0244.5	0.48	0.42	0.32	0.34	-0.08	-0.11	-0.04	0.19
B0244.7	B0244.7	0.38	0.31	0.28	0.27	0.09	0.55	0.3	0.311428571
egg-1	egg-1	0.06	0.13	-0.11	-0.03	-0.03	0.16	0.49	0.095714286
B0244.9	B0244.9	0.12	0.3	0.04	0.27	-0.07	1.14	0.1	0.271428571
rpl-2	rpl-2	-0.05	-0.14	-0.14	-0.24	-0.78	-0.53	-0.54	-0.345714286
srbc-78	srbc-78	0.2125	0.01	0.02	-0.24	-0.26	-0.17	0	-0.061071429
B0250.12	B0250.12	0.41	-0.35	-0.46	-0.24	-0.29	-0.51	-0.07	-0.215714286
calf-1	calf-1	1.08	0.03	-0.18	-0.07	0.29	-0.41	0.47	0.172857143
B0250.3	B0250.3	-0.12	-0.14	-0.3	-0.4	-0.39	-0.36	-0.14	-0.264285714
B0250.4	B0250.4	0.11125	-0.2	-0.11	-0.04	-0.09	-0.15	0.1	-0.054107143
B0250.5	B0250.5	-0.77	-0.64	-0.75	-0.53	-0.51	-0.54	-0.19	-0.561428571
srbc-79	srbc-79	0.154285714	-0.04	0.05	0.1	-0.57	-0.25	-0.02	-0.082244898
B0250.8	B0250.8	0.21	0.66	0.08	0.77	0.72	0.69	0.59	0.531428571
dhcr-7	dhcr-7	-0.43	-0.1	-0.5	-0.42	-0.24	-0.41	-0.12	-0.317142857
B0252.1	B0252.1	0.58	0.17	-0.06	-0.15	0.26	-0.39	-0.07	0.048571429
asm-1	asm-1	0.03	0.09	0.2	-0.04	0.31	0.29	0.1	0.14
B0252.3	B0252.3	-0.22	-0.05	0.18	0.13	0	-0.14	-0.07	-0.024285714
cyn-10	cyn-10	0.25	0.06	0.09	0.07	0.69	0.28	0.32	0.251428571
B0252.5	B0252.5	0.112	0.04	-0.16	0.04	-0.19	-0.2	0.01	-0.049714286
B0252.8	B0252.8	0.23	-0.14	-0.18	0.11	0.15	0.05	0.32	0.077142857
B0261.1	B0261.1	-0.25	-0.19	0.05	-0.02	0.16	-0.01	0.18	-0.011428571
let-363	let-363	-0.41	0.12	0.09	0.18	-0.53	-0.49	-0.31	-0.192857143
mrpl-47	mrpl-47	-0.51	-0.6	-0.34	-0.43	-0.1	-0.34	-0.14	-0.351428571
B0261.5	B0261.5	-0.11	0	0.05	0.18	0.44	0.48	0.17	0.172857143
B0261.6	B0261.6	0.54	0.31	0.37	0.37	-0.07	0.53	0.16	0.315714286
B0261.7	B0261.7	0.07	-0.54	0.2	0.17	0.68	0.7	0.29	0.224285714
B0261.8	B0261.8	0.15	0	-0.01	-0.03	0.3	0.21	0.43	0.15
tbb-4	tbb-4	0.294444444	0.1	0.66	0.42	-0.02	0.11	0.38	0.277777778
memb-1	memb-1	-0.35	-0.07	-0.04	-0.21	-0.12	-0.11	-0.23	-0.161428571
B0272.3	B0272.3	-0.07	-0.14	-0.06	-0.14	-0.43	-0.23	-0.24	-0.187142857
B0272.4	B0272.4	0.11	-0.55	0.1	0.24	0.82	0.46	0.13	0.187142857
B0273.1	B0273.1	0.5	0.25	0.14	0.14	0.34	0.2	0.01	0.225714286
B0273.115	B0273.115	-0.191666667	0.33	0.52	0.19	0.42	-0.11	0.07	0.17547619
puf-7	puf-7	0.06	0.3	-0.1	-0.1	-0.47	0	0.32	0.001428571
B0273.3	B0273.3	-0.11	-0.43	-0.3	-0.377777778	0.41	-0.05	0.62	-0.033968254
unc-5	unc-5	-0.14	-0.03	0.16	0.04	-0.12	-0.14	-0.21	-0.062857143
21ur-4213	21ur-4213	-0.1	0.11	0.18	0.18	-0.12	-0.1	0.07	0.031428571
ggtb-1	ggtb-1	-0.19	0.03	-0.16	-0.27	0.08	0.12	-0.23	-0.088571429
pot-1	pot-1	-0.36	0.18	-0.37	-0.48	0.25	-0.07	0.29	-0.08
B0280.11	B0280.11	0.023271805	0.010004527	0.014366823	0.010039133	0.33	0.009050309	0.67	0.152390371
glr-2	glr-2	-0.08	-0.09	0.85	0.69	0.48	0.59	0.1	0.362857143
B0280.13	B0280.13	0.54	0.38	-0.15	-0.35	-0.32	-0.05	-0.13	-0.011428571
B0280.17	B0280.17	0.6	0.28	0.25	0.26	-0.11	0.54	0.04	0.265714286
rpia-1	rpia-1	-0.61	-0.45	-0.38	-0.42	-0.55	-0.41	-0.7	-0.502857143
odd-1	odd-1	1.41	-1.57	0.34	0.85	-0.01	-0.16	0.05	0.13
cpg-2	cpg-2	0.05	0.1	-0.22	-0.37	2.55	3.43	2.97	1.215714286
B0280.7	B0280.7	-0.1075	0.018888889	0.13	0.23	0.23	0.09	-0.25	0.048769841
nhr-10	nhr-10	-0.18	0.3	0.42	0.12	0.28	0.03	-0.1	0.124285714
B0280.9	B0280.9	-0.5	-1.36	-0.07	0.14	0.24	0.03	-0.07	-0.227142857
B0281.1	B0281.1	0.023271805	0.010004527	-1.04	0.010039133	-0.65	-0.45	0.022240009	-0.296349218
B0281.3	B0281.3	0.08	0.96	-0.02	-0.01	0.29	0.14	0.13	0.224285714
B0281.4	B0281.4	0.205	0.226	-0.37	0.1	-0.11	-0.311	0.79	0.075714286
B0281.5	B0281.5	0.053333333	-0.11	-0.29	0.06	-0.07	0.16	0.33	0.019047619
B0281.6	B0281.6	0.0025	0.29	-0.62	-0.49	0.12	0.07	0.02	-0.086785714
B0281.7	B0281.7	0.023271805	0.010004527	0.014366823	0.010039133	-0.79	0.009050309	0.022240009	-0.100146771
B0281.8	B0281.8	0.023271805	0.010004527	0.014366823	0.010039133	-0.02	-0.12	0.022240009	-0.008582529
B0284.1	B0284.1	-0.9	-1.06	-1.13	-1.13	1.33	1.12	-1.12	-0.412857143
B0284.2	B0284.2	0.162	0.09	-0.23	-0.17	1.06	0.51	-1.15	0.038857143
B0284.3	B0284.3	-0.26	-0.4	-0.59	-0.81	-0.68	-1.09	-0.49	-0.617142857
B0284.4	B0284.4	0.0125	0.09	-0.6	-0.466	0.79	0.91	0.531	0.181071429
B0284.5	B0284.5	-1.1525	-0.974	-1.63	-1.27	-1.42	-2.08	-0.61	-1.305214286
B0284.6	B0284.6	-0.01	0.18	-0.01	0.07	-0.39	-0.62	0.02	-0.108571429
cdk-12	cdk-12	0.04	0.05	-0.08	0.16	-0.21	-0.18	-0.01	-0.032857143
ckb-3	ckb-3	0.282	0.012857143	0.39	0.52	-0.12	-0.47	0.33	0.134979592
B0285.12	B0285.12	0.22	0.27	0.08	0.17	-0.04	-0.46	0.61	0.121428571
B0285.3	B0285.3	0.31	-0.41	-0.17	-0.19	0.39	0.03	-0.06	-0.014285714
B0285.4	B0285.4	-0.21	-0.34	0.02	-0.06	0.41	-0.06	0.13	-0.015714286
hse-5	hse-5	0.13	-0.38	0.2	0.36	0.7	0.68	0.1	0.255714286
B0285.6	B0285.6	0.64	0.34	1.01	0.9	0.47	0.77	0.53	0.665714286
mnp-1	mnp-1	0.48	-0.03	0.52	0.23	-0.07	0.72	-0.03	0.26
ckb-1	ckb-1	-0.06	-0.28	-0.27	-0.31	0.18	-0.06	-0.36	-0.165714286
ckb-2	ckb-2	0.34	0.58	0.05	-0.17	0.18	0.07	0.24	0.184285714
B0286.1	B0286.1	-0.17	-0.07	-0.13	-0.02	0.17	0.47	0.02	0.038571429
lat-2	lat-2	0.101666667	0.1	0.39	0.4	0.11	0.29	-0.15	0.177380952
B0286.3	B0286.3	-0.47	-0.41	-0.58	-0.56	-0.18	-0.22	-0.53	-0.421428571
ntl-2	ntl-2	-0.12	0.11	-0.06	0.01	-0.02	0.08	-0.47	-0.067142857
fkh-6	fkh-6	-0.05875	0.01	-0.01	0.15	0.01	0.24	0.05	0.055892857
try-9	try-9	-1.308	-1.12	-1.21	-1.42	-1.66	-1.86	-1.62	-1.456857143
B0294.1	B0294.1	-0.43	-0.66	0.16	0.29	-0.35	-0.38	-0.51	-0.268571429
B0294.3	B0294.3	-0.45	0.29	-0.31	-0.23	-0.35	-0.47	0.11	-0.201428571
sid-3	sid-3	0.23	0.37	0.56	0.64	-0.2	0.09	-0.36	0.19
B0302.4	B0302.4	-0.372222222	-0.37	-0.17	-0.31	-0.27	-0.11	-0.41	-0.287460317
B0302.5	B0302.5	-0.07	-0.15	0.03	-0.07	-0.42	-0.09	-0.12	-0.127142857
B0303.11	B0303.11	0.29	0.3	0.08	0.24	0.11	0.09	0.12	0.175714286
B0303.14	B0303.14	-0.17	-0.13	-0.05	0.12	0.01	0.35	0.02	0.021428571
mrpl-11	mrpl-11	-0.36	-0.38	-0.3	-0.28	-0.15	-0.1	0.05	-0.217142857
B0303.16	B0303.16	0.023271805	0.010004527	0.014366823	0.010039133	0.039373646	0.01	0.022240009	0.018470849
anmt-1	anmt-1	0.17	0.08	0.12	0.13	0.35	0.41	0.41	0.238571429
B0303.3	B0303.3	0.31	0.11	0.29	0.42	0.32	0.96	-0.22	0.312857143
B0303.4	B0303.4	0.24	-0.14	0.17	0.09	-0.24	0.07	-0.14	0.007142857
