	ID	Antigen	Cell	P-value	Q-value	Q-value-NAs	enrichment	DEG	y.order	x.order
65	SRX331054	NHR-76	L3	-0.960352	-0.12693	NA	8.71217	MCP-UP	14	6
71	SRX065628	PHA-4	L3	-0.538971	-0.0231406	NA	0.326706	MCP-UP	6	6
77	SRX044016	PQM-1	L3	0	0	NA	1.0413	MCP-UP	2	6
84	SRX233695	SAX-3	L4	0	0	NA	0.712166	MCP-UP	11	6
90	SRX2582951	STA-1	Whole worm	-0.57535	-0.0298528	NA	3.2965	MCP-UP	15	6
4	SRX043992	BLMP-1	L1	-0.191174	0	NA	1.06693	SF-DOWN	7	3
7	SRX3923761	CEH-60	Adult	-6.27317	-3.3127	-3.3127	1.72657	SF-DOWN	3	3
16	SRX005631	DAF-16	Young adult	-0.490694	-0.0663409	NA	1.21735	SF-DOWN	8	3
22	SRX331298	DVE-1	L4	-0.568579	-0.11047	NA	1.24459	SF-DOWN	5	3
29	SRX044000	ELT-3	L1	0	0	NA	0.954747	SF-DOWN	10	3
31	SRX065660	FOS-1	L2	-2.99953	-1.10652	-1.10652	1.48226	SF-DOWN	4	3
40	SRX331310	HLH-30	L4	-0.0970087	0	NA	1.03928	SF-DOWN	9	3
48	SRX2202779	HPL-2	Young adult	-0.11661	0	NA	1.05372	SF-DOWN	13	3
53	SRX043984	MDL-1	L1	-0.0549735	0	NA	1.03156	SF-DOWN	12	3
55	SRX065656	NHR-28	L4	-5.36099	-2.99136	-2.99136	1.72369	SF-DOWN	1	3
63	SRX331054	NHR-76	L3	-0.201443	0	NA	0	SF-DOWN	14	3
70	SRX065628	PHA-4	L3	-0.258949	0	NA	1.0941	SF-DOWN	6	3
73	SRX044016	PQM-1	L3	-5.34977	-2.99136	-2.99136	2.11365	SF-DOWN	2	3
81	SRX234917	SAX-3	L3	0	0	NA	0.733745	SF-DOWN	11	3
88	SRX2582951	STA-1	Whole worm	-0.28016	0	NA	0.378771	SF-DOWN	15	3
3	SRX043992	BLMP-1	L1	-0.51286	0	NA	0.705576	SF-UP	7	4
8	SRX3923759	CEH-60	Adult	-2.45427	-0.51938	NA	1.75908	SF-UP	3	4
15	SRX005631	DAF-16	Young adult	-0.343269	0	NA	0.598726	SF-UP	8	4
21	SRX331298	DVE-1	L4	-0.33221	0	NA	1.29346	SF-UP	5	4
28	SRX044002	ELT-3	L1	0	0	NA	0.839643	SF-UP	10	4
32	SRX065661	FOS-1	L2	-1.19918	-0.189551	NA	1.84767	SF-UP	4	4
39	SRX331310	HLH-30	L4	-0.185374	0	NA	1.17921	SF-UP	9	4
47	SRX2202779	HPL-2	Young adult	-0.529706	0	NA	0.469162	SF-UP	13	4
52	SRX043984	MDL-1	L1	-0.218143	0	NA	0.689246	SF-UP	12	4
58	SRX065656	NHR-28	L4	-0.667805	0	NA	1.34058	SF-UP	1	4
61	SRX331054	NHR-76	L3	-1.39388	-0.245922	NA	6.29665	SF-UP	14	4
68	SRX065628	PHA-4	L3	-0.399581	0	NA	0.70563	SF-UP	6	4
74	SRX044016	PQM-1	L3	-1.9337	-0.407657	NA	2.06505	SF-UP	2	4
82	SRX233695	SAX-3	L4	0	0	NA	1.02572	SF-UP	11	4
89	SRX2582951	STA-1	Whole worm	-0.686306	0	NA	2.37545	SF-UP	15	4
1	SRX043992	BLMP-1	L1	-3.70204	-1.99684	-1.99684	1.21284	sperm-DOWN	7	1
9	SRX3923761	CEH-60	Adult	-8.02141	-5.75991	-5.75991	1.32997	sperm-DOWN	3	1
13	SRX005631	DAF-16	Young adult	-3.66544	-1.98372	-1.98372	1.35227	sperm-DOWN	8	1
19	SRX331298	DVE-1	L4	-4.58548	-2.57925	-2.57925	1.38263	sperm-DOWN	5	1
26	SRX044002	ELT-3	L1	-3.04255	-1.52924	-1.52924	1.3879	sperm-DOWN	10	1
33	SRX065660	FOS-1	L2	-7.22614	-5.04382	-5.04382	1.31464	sperm-DOWN	4	1
37	SRX331310	HLH-30	L4	-3.37928	-1.76123	-1.76123	1.27027	sperm-DOWN	9	1
45	SRX2202779	HPL-2	Young adult	-0.172394	0	NA	0.949358	sperm-DOWN	13	1
50	SRX043984	MDL-1	L1	-2.40276	-1.06554	-1.06554	1.29887	sperm-DOWN	12	1
56	SRX065656	NHR-28	L4	-13.7051	-10.7446	-10.7446	1.4842	sperm-DOWN	1	1
64	SRX331054	NHR-76	L3	0	0	NA	0.935122	sperm-DOWN	14	1
67	SRX065628	PHA-4	L3	-4.09034	-2.276	-2.276	1.25689	sperm-DOWN	6	1
75	SRX044016	PQM-1	L3	-12.3254	-9.66596	-9.66596	1.68359	sperm-DOWN	2	1
80	SRX233695	SAX-3	L4	-2.76807	-1.28472	-1.28472	1.34745	sperm-DOWN	11	1
87	SRX2582951	STA-1	Whole worm	-0.0456834	0	NA	1.0077	sperm-DOWN	15	1
2	SRX043992	BLMP-1	L1	-0.320121	-0.0577505	NA	0.961337	sperm-UP	7	2
10	SRX3923759	CEH-60	Adult	-6.8737	-5.79972	-5.79972	1.2952	sperm-UP	3	2
14	SRX005631	DAF-16	Young adult	-5.76779	-4.82016	-4.82016	0.609192	sperm-UP	8	2
20	SRX331298	DVE-1	L4	-0.306563	-0.0545539	NA	0.938342	sperm-UP	5	2
27	SRX044000	ELT-3	L1	-0.65391	-0.284751	NA	0.870353	sperm-UP	10	2
34	SRX065660	FOS-1	L2	-4.63927	-3.80265	-3.80265	1.23541	sperm-UP	4	2
38	SRX331310	HLH-30	L4	-1.88978	-1.31313	-1.31313	0.825751	sperm-UP	9	2
46	SRX2202779	HPL-2	Young adult	-3.37641	-2.65247	-2.65247	0.675571	sperm-UP	13	2
51	SRX043984	MDL-1	L1	-2.37933	-1.74724	-1.74724	0.735255	sperm-UP	12	2
57	SRX065656	NHR-28	L4	-7.63633	-6.46825	-6.46825	1.33431	sperm-UP	1	2
62	SRX331054	NHR-76	L3	-3.13101	-2.43707	-2.43707	2.53725	sperm-UP	14	2
69	SRX065628	PHA-4	L3	-2.1029	-1.49845	-1.49845	0.840496	sperm-UP	6	2
76	SRX044016	PQM-1	L3	-5.88266	-4.92219	-4.92219	1.42569	sperm-UP	2	2
83	SRX234917	SAX-3	L3	-0.256747	-0.0262502	NA	0.828753	sperm-UP	11	2
85	SRX2582951	STA-1	Whole worm	-2.59505	-1.94845	-1.94845	1.76822	sperm-UP	15	2
